ONNX Operator Name,Map Description & Graph Fusion Description,HBIR Operator Name,BPU Support Constraints
Resize,"//opset10
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    scales: mlir.Value = None,
    *,
    mode=""nearest"",
):
    input_shape = np.array(adaptor.operands[0].type.shape)
    output_shape = np.array(adaptor.results[0].type.shape)
    # Only supports resizing operations with 4-dimensional features
    assert len(input_shape) == 4
    scale_tensor = adaptor.operands[1].value
    resize_scale = scale_tensor[2:]
    if isinstance(mode, bytes):
        mode = mode.decode()
    if mode == ""linear"":
        mode = ""bilinear""
    if mode not in [""nearest"", ""bilinear""]:
        raise ValueError(f""Operator Resize does not support resize mode: {mode}"")
    # resize 10 only supports one resize method, which is the most basic resize method
    step = 1 / resize_scale
    initial_offset = np.array([-0.5, -0.5])

    # 1. when there is a ratio parameter, if the value of ratio is negative, you need to correct the value of initialOffset;
    # 2. when there is a size parameter, if the value of step is negative, you need to correct the value of initialOffset;
    rank = len(input_shape)
    numOfResizeAxis = 2
    for i in range(numOfResizeAxis):
        axis = rank - numOfResizeAxis - 1 + i
        if step[i] < 0:
            initial_offset[i] = float(input_shape[axis])

    x = hbir.transpose(x, [0, 2, 3, 1])
    x = hbir.resize2d(
        x, step, initial_offset, mode, size=output_shape[2:], expansionMode=""border""
    )
    x = hbir.transpose(x, [0, 3, 1, 2], output_type=y)
    return x
//opset11
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    roi: mlir.Value = None,
    scales: mlir.Value = None,
    sizes: mlir.Value = None,
    *,
    coordinate_transformation_mode=""half_pixel"",
    cubic_coeff_a=""-0.75"",
    exclude_outside=0,
    extrapolation_value=0,
    mode=""nearest"",
    nearest_mode=""round_prefer_floor"",
):
    input_shape = np.array(adaptor.operands[0].type.shape)
    output_shape = np.array(adaptor.results[0].type.shape)
    rank = len(input_shape)
    roi = (
        None
        if (roi is None or (len(adaptor.operands[1].value) == 0))
        else adaptor.operands[1].value
    )
    # 仅支持feature为4维的resize操作
    assert len(input_shape) == 4
    scale_tensor = (
        None
        if (scales is None or (len(adaptor.operands[2].value) == 0))
        else adaptor.operands[2].value
    )
    if scale_tensor is not None:
        resize_shape = input_shape * scale_tensor
    else:
        resize_shape = adaptor.operands[3].value
        scale_tensor = np.array(
            [
                1,
                1,
                resize_shape[2] / input_shape[2],
                resize_shape[3] / input_shape[3],
            ]
        )

    length_original = input_shape[2:].astype(np.int32)
    length_resized = resize_shape[2:].astype(np.int32)
    coordinate_transformation_mode = (
        coordinate_transformation_mode.decode()
        if isinstance(coordinate_transformation_mode, bytes)
        else coordinate_transformation_mode
    )
    if coordinate_transformation_mode != ""tf_crop_and_resize"" and np.array_equal(
        length_original, length_resized
    ):
        x = hbir.transpose(x, [0, 2, 3, 1])
        x = hbir.resize2d(
            x, step=[1.0, 1.0], initialOffset=[0.0, 0.0], ratio=(1.0, 1.0)
        )
        x = hbir.transpose(x, [0, 3, 1, 2], output_type=y)
        return x

    # resize 计算公式:
    # hw_in = initial_offset + hw_out * step
    resize_scale = scale_tensor[2:]
    if coordinate_transformation_mode in [""pytorch_half_pixel""]:
        step = 1 / resize_scale
        initial_offset = 0.5 / resize_scale - 0.5
        for index, resized_num in enumerate(length_resized):
            if resized_num <= 1:
                step[index] = 0.0
                initial_offset[index] = 0.0

    elif coordinate_transformation_mode in [""half_pixel""]:
        step = 1 / resize_scale
        initial_offset = 0.5 / resize_scale - 0.5
    elif coordinate_transformation_mode in [""align_corners""]:
        step = (
            (length_original[0] - 1) / (length_resized[0] - 1),
            (length_original[1] - 1) / (length_resized[1] - 1),
        )
        initial_offset = [0.0, 0.0]
    elif coordinate_transformation_mode in [""asymmetric""]:
        step = 1 / resize_scale
        initial_offset = [0.0, 0.0]

    elif coordinate_transformation_mode in [""tf_half_pixel_for_nn""]:
        step = 1 / resize_scale
        initial_offset = 0.5 / resize_scale
    elif coordinate_transformation_mode in [""tf_crop_and_resize""]:
        start_x = roi[rank - 2 : rank]
        end_x = roi[2 * rank - 2 : 2 * rank]
        step = [1, 1]
        initial_offset = [0, 0]
        for index in range(len(length_resized)):
            if length_resized[index] > 1:
                step[index] = (
                    (end_x[index] - start_x[index])
                    * (length_original[index] - 1)
                    / (length_resized[index] - 1)
                )
                initial_offset[index] = start_x[index] * (
                    length_original[index] - 1
                )
            else:
                step[index] = 0
                initial_offset[index] = (
                    0.5
                    * (start_x[index] + end_x[index])
                    * (length_original[index] - 1)
                )
    else:
        raise ValueError(
            f""Operator Resize does not support coordinate_transformation_mode: {coordinate_transformation_mode}""
        )

    if isinstance(mode, bytes):
        mode = mode.decode()
    if isinstance(nearest_mode, bytes):
        nearest_mode = nearest_mode.decode()

    if mode == ""linear"":
        mode = ""bilinear""
    if mode == ""cubic"":
        mode = ""bicubic""
    if mode not in [""nearest"", ""bilinear"", ""bicubic""]:
        raise ValueError(f""Operator Resize does not support resize mode: {mode}"")
    if mode == ""nearest"":
        if nearest_mode == ""round_prefer_ceil"":
            initial_offset += np.array(
                [np.finfo(np.float32).eps, np.finfo(np.float32).eps]
            )
        if nearest_mode == ""round_prefer_floor"":
            initial_offset -= np.array(
                [np.finfo(np.float32).eps, np.finfo(np.float32).eps]
            )
        elif nearest_mode == ""floor"":
            initial_offset -= np.array([0.5, 0.5])
        elif nearest_mode == ""ceil"":
            initial_offset += np.array([0.5, 0.5])
        else:
            raise ValueError(
                f""Operator Resize does not support nearest_mode mode: {nearest_mode}""
            )

    # 1. when there is a ratio parameter, if the value of ratio is negative, you need to correct the value of initialOffset;
    # 2. when there is a size parameter, if the value of step is negative, you need to correct the value of initialOffset;
    rank = len(input_shape)
    numOfResizeAxis = 2
    for i in range(numOfResizeAxis):
        axis = rank - numOfResizeAxis - 1 + i
        if step[i] < 0:
            initial_offset[i] = float(input_shape[axis])

    x = hbir.transpose(x, [0, 2, 3, 1])
    x = hbir.resize2d(
        x, step, initial_offset, mode, size=output_shape[2:], expansionMode=""border""
    )
    x = hbir.transpose(x, [0, 3, 1, 2], output_type=y)
    return x
//opset18
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    roi: mlir.Value = None,
    scales: mlir.Value = None,
    sizes: mlir.Value = None,
    *,
    antialias=0,
    axes=None,
    coordinate_transformation_mode=""half_pixel"",
    cubic_coeff_a=""-0.75"",
    exclude_outside=0,
    extrapolation_value=0,
    keep_aspect_ratio_policy=""stretch"",
    mode=""nearest"",
    nearest_mode=""round_prefer_floor"",
):
    input_shape = np.array(adaptor.operands[0].type.shape)
    length_original = input_shape[2:].astype(np.int32)
    output_shape = np.array(adaptor.results[0].type.shape)
    rank = len(input_shape)

    # 仅支持feature为4维的resize操作
    assert len(input_shape) == 4
    if roi is not None and len(adaptor.operands[1].value) > 0:
        roi = adaptor.operands[1].value
    scale_tensor = (
        None
        if (scales is None or (len(adaptor.operands[2].value) == 0))
        else adaptor.operands[2].value
    )
    output_size = (
        None
        if (sizes is None or (len(adaptor.operands[3].value) == 0))
        else adaptor.operands[3].value
    )
    coordinate_transformation_mode = (
        coordinate_transformation_mode.decode()
        if isinstance(coordinate_transformation_mode, bytes)
        else coordinate_transformation_mode
    )
    if isinstance(mode, bytes):
        mode = mode.decode()
    if isinstance(nearest_mode, bytes):
        nearest_mode = nearest_mode.decode()
    if isinstance(keep_aspect_ratio_policy, bytes):
        keep_aspect_ratio_policy = keep_aspect_ratio_policy.decode()

    if antialias != 0:
        raise ValueError(""Operator Resize does not support antialias mode."")
    if output_size is None and scale_tensor is None:
        raise ValueError(
            ""Operator Resize: one of scales and sizes must be specified.""
        )
    if output_size is not None and scale_tensor is not None:
        raise ValueError(
            ""Operator Resize: only one of scales and sizes can be specified.""
        )

    if axes is not None:
        if len(axes) > 2:
            raise ValueError(""Operator Resize supports specifying up to 2 axes."")
        axes_num = len(axes)
        if output_size is not None:
            new_output_size = np.copy(input_shape)
            new_output_size[axes] = output_size
            output_size = new_output_size

        if scale_tensor is not None:
            new_scales = np.ones(rank, dtype=np.float32)
            new_scales[axes] = scale_tensor
            scale_tensor = new_scales

        if roi is not None:
            new_roi_begin = np.zeros(rank, dtype=np.float32)
            new_roi_end = np.ones(rank, dtype=np.float32)
            new_roi_begin[axes] = roi[:axes_num]
            new_roi_end[axes] = roi[axes_num:]
            roi = np.concatenate((new_roi_begin, new_roi_end))

    if scale_tensor is not None:
        resize_shape = input_shape * scale_tensor
        length_resized = resize_shape[2:].astype(np.int32)
    else:
        resize_shape = output_size
        length_resized = resize_shape[2:].astype(np.int32)
        scale_tensor = np.array(
            [
                1,
                1,
                resize_shape[2] / input_shape[2],
                resize_shape[3] / input_shape[3],
            ]
        )

        if keep_aspect_ratio_policy != ""stretch"":
            if keep_aspect_ratio_policy == ""not_larger"":
                scale = np.min(resize_shape[2:] / input_shape[2:])
            elif keep_aspect_ratio_policy == ""not_smaller"":
                scale = np.max(resize_shape[2:] / input_shape[2:])
            else:
                raise ValueError(
                    f""Invalid keep_aspect_ratio_policy={keep_aspect_ratio_policy!r}""
                )

            scale_tensor[2] = scale_tensor[3] = scale

            resize_shape = input_shape * scale_tensor
            length_resized = [int(elem + 0.5) for elem in resize_shape[2:]]

    if coordinate_transformation_mode != ""tf_crop_and_resize"" and np.array_equal(
        length_original, length_resized
    ):
        x = hbir.transpose(x, [0, 2, 3, 1])
        x = hbir.resize2d(
            x, step=[1.0, 1.0], initialOffset=[0.0, 0.0], ratio=(1.0, 1.0)
        )
        x = hbir.transpose(x, [0, 3, 1, 2], output_type=y)
        return x

    # resize calculation formula:
    # hw_in = initial_offset + hw_out * step
    resize_scale = scale_tensor[2:]
    if coordinate_transformation_mode in [""pytorch_half_pixel""]:
        step = 1 / resize_scale
        initial_offset = 0.5 / resize_scale - 0.5
        for index, resized_num in enumerate(length_resized):
            if resized_num <= 1:
                step[index] = 0.0
                initial_offset[index] = 0.0
    elif coordinate_transformation_mode in [""half_pixel_symmetric""]:
        adjustment = length_resized / resize_shape[2:]
        center = length_original / 2
        offset = center * (1 - adjustment)
        step = 1 / resize_scale
        initial_offset = 0.5 / resize_scale - 0.5 + offset
    elif coordinate_transformation_mode in [""half_pixel""]:
        step = 1 / resize_scale
        initial_offset = 0.5 / resize_scale - 0.5
    elif coordinate_transformation_mode in [""align_corners""]:
        step = (
            (length_original[0] - 1) / (length_resized[0] - 1),
            (length_original[1] - 1) / (length_resized[1] - 1),
        )
        initial_offset = [0.0, 0.0]
    elif coordinate_transformation_mode in [""asymmetric""]:
        step = 1 / resize_scale
        initial_offset = [0.0, 0.0]
    elif coordinate_transformation_mode in [""tf_crop_and_resize""]:
        start_x = roi[rank - 2 : rank]
        end_x = roi[2 * rank - 2 : 2 * rank]
        step = [1, 1]
        initial_offset = [0, 0]
        for index in range(len(length_resized)):
            if length_resized[index] > 1:
                step[index] = (
                    (end_x[index] - start_x[index])
                    * (length_original[index] - 1)
                    / (length_resized[index] - 1)
                )
                initial_offset[index] = start_x[index] * (
                    length_original[index] - 1
                )
            else:
                step[index] = 0
                initial_offset[index] = (
                    0.5
                    * (start_x[index] + end_x[index])
                    * (length_original[index] - 1)
                )
    else:
        raise ValueError(
            f""Operator Resize does not support coordinate_transformation_mode: {coordinate_transformation_mode}""
        )

    # Currently only nearest and bilinear are supported.
    if mode == ""linear"":
        mode = ""bilinear""
    if mode == ""cubic"":
        mode = ""bicubic""
    if mode not in [""nearest"", ""bilinear"", ""bicubic""]:
        raise ValueError(f""Operator Resize does not support resize mode: {mode}"")
    if mode == ""nearest"":
        if nearest_mode == ""round_prefer_ceil"":
            initial_offset += np.array(
                [np.finfo(np.float32).eps, np.finfo(np.float32).eps]
            )
        if nearest_mode == ""round_prefer_floor"":
            initial_offset -= np.array(
                [np.finfo(np.float32).eps, np.finfo(np.float32).eps]
            )
        elif nearest_mode == ""floor"":
            initial_offset -= np.array([0.5, 0.5])
        elif nearest_mode == ""ceil"":
            initial_offset += np.array([0.5, 0.5])
        else:
            raise ValueError(
                f""Operator Resize does not support nearest_mode mode: {nearest_mode}""
            )

    # 1. when there is a ratio parameter, if the value of ratio is negative, you need to correct the value of initialOffset;
    # 2. when there is a size parameter, if the value of step is negative, you need to correct the value of initialOffset;
    rank = len(input_shape)
    numOfResizeAxis = 2
    for i in range(numOfResizeAxis):
        axis = rank - numOfResizeAxis - 1 + i
        if step[i] < 0:
            initial_offset[i] = float(input_shape[axis])

    x = hbir.transpose(x, [0, 2, 3, 1])
    x = hbir.resize2d(
        x, step, initial_offset, mode, size=output_shape[2:], expansionMode=""border""
    )
    x = hbir.transpose(x, [0, 3, 1, 2], output_type=y)
    return x","hbir.transpose
hbir.resize2d
hbir.transpose
","{'hbir.transpose': {'input': ['{No limits}'], 'output': ['{Same as input}']}, 'hbir.resize2d': {'input': ['{Type: int8}\n{Shape: [*,H,W,C]}\n{The integer part of step ∈ [-256, 255], otherwise the backend will be on cpu}'], 'output': ['{Same as input}'], 'mode': ['{Opset10: support nearest and bilinear}\n{Opset11 and newer: support nearest, bilinear and bicubic}']}}"
CumSum,"//opset11
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    axis: mlir.Value,
    *,
    exclusive=0,
    reverse=0,
):
    axis = adaptor.operands[1].value.tolist()
    return hbir.cumsum(x, axis, exclusive=exclusive, reverse=reverse)","hbir.cumsum
","{'hbir.cumsum': {'input': ['{Type: int8, int16}\n{Shape: [*, dim[axis], *]}\n{Dim: * ∈ [1, 65536]; dim[axis] ∈ [1, 8192]}'], 'output': ['{Type: int8, int16, int32}\n{Shape/Dim: same with input}']}}"
DepthToSpaceConvertor,"//opset11
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *,
    blocksize,
    mode=b""DCR"",
):
    input_dim = len(adaptor.operands[0].type.shape)
    if input_dim != 4:
        raise ValueError(
            f""Operator DepthToSpace does not support input_dim not euqal to 4, got {input_dim}""
        )
    n, c, h, w = adaptor.operands[0].type.shape
    if c % (blocksize**2) != 0:
        raise ValueError(
            ""The channel of the input shape must be divisible by the square of blocksize.""
        )

    if mode == b""DCR"":
        x = hbir.reshape(x, (n, blocksize, blocksize, c // (blocksize**2), h, w))
        x = hbir.transpose(x, [0, 3, 4, 1, 5, 2])
    elif mode == b""CRD"":
        x = hbir.reshape(x, (n, c // (blocksize**2), blocksize, blocksize, h, w))
        x = hbir.transpose(x, [0, 1, 4, 2, 5, 3])
    else:
        raise ValueError(
            f""Operator DepthToSpace only support DCR mode and CRD mode, got {mode}""
        )
    return hbir.reshape(
        x,
        (n, c // (blocksize**2), h * blocksize, w * blocksize),
        output_type=y,
    )","hbir.reshape
hbir.transpose
hbir.reshape
hbir.transpose
hbir.reshape
","{'hbir.reshape': {'input': ['{No limits}'], 'output': ['{Same as input}']}, 'hbir.transpose': {'input': ['{No limits}'], 'output': ['{Same as input}']}}"
NonMaxSuppression,"//opset11
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    boxes: mlir.Value,
    scores: mlir.Value,
    max_output_boxes_per_class: mlir.Value = None,
    iou_threshold: mlir.Value = None,
    score_threshold: mlir.Value = None,
    *,
    center_point_box=0,
):

    boxes_shape = np.array(adaptor.operands[0].type.shape)
    scores_shape = np.array(adaptor.operands[1].type.shape)
    assert len(boxes_shape) == 3 and boxes_shape[2] == 4
    assert len(scores_shape) == 3 and boxes_shape[1] == scores_shape[2]

    maxOutputBoxesPerClass = 0
    if len(adaptor.operands) > 2:
        maxOutputBoxesPerClass = int(adaptor.operands[2].value)

    iouThreshold = 0.0
    if len(adaptor.operands) > 3:
        iouThreshold = float(adaptor.operands[3].value)

    scoreThreshold = 0.0
    if len(adaptor.operands) > 4:
        scoreThreshold = float(adaptor.operands[4].value)

    if center_point_box == 0:
        mode = ""yxyx""
    elif center_point_box == 1:
        mode = ""xywh""
    else:
        raise ValueError(
            f""Operator NonMaxSuppression does not support center_point_box: {center_point_box}""
        )
    if isinstance(mode, bytes):
        mode = mode.decode()

    if maxOutputBoxesPerClass == 0:
        raise ValueError(
            f""Operator NonMaxSuppression does not support max_output_boxes_per_class: {maxOutputBoxesPerClass}""
        )

    return hbir.nms(
        boxes, scores, mode, iouThreshold, scoreThreshold, maxOutputBoxesPerClass
    )","hbir.nms
",{'hbir.nms': 'Unsupported'}
Round,"//opset11
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.round(x, 0, output_type=y)","hbir.round
",{'hbir.round': 'Unsupported'}
ScatterElements,"//opset11
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    indices: mlir.Value,
    updates: mlir.Value,
    axis=0,
):
    return hbir.scatter_elements(data, indices, updates, axis, output_type=y)
//opset16
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    indices: mlir.Value,
    updates: mlir.Value,
    *,
    axis=0,
    reduction=""none"",
):
    return hbir.scatter_elements(
        data,
        indices,
        updates,
        axis=axis,
        scatterReduceMode=reduction,
        output_type=y,
    )","hbir.scatter_elements
",{'hbir.scatter_elements': 'Unsupported'}
ScatterND,"//opset11
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    indices: mlir.Value,
    updates: mlir.Value,
):
    return hbir.scatter_nd(data, indices, updates, output_type=y)","hbir.scatter_nd
",{'hbir.scatter_nd': 'Unsupported'}
GreaterOrEqual,"//opset12
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, lhs: mlir.Value, rhs: mlir.Value
):
    return hbir.greater_equal(lhs, rhs, output_type=y)","hbir.greater_equal
","{'hbir.greater_equal': {'lhs': ['{Type: int8, int16}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Type: bool8}']}}"
LessOrEqual,"//opset12
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, lhs: mlir.Value, rhs: mlir.Value
):
    return hbir.less_equal(lhs, rhs, output_type=y)","hbir.less_equal
","{'hbir.less_equal': {'lhs': ['{Type: int8, int16}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Type: bool8}']}}"
Trilu,"//opset13
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *args,
    upper=1,
):
    k = 0
    if len(args) != 0:
        k = adaptor.operands[1].value
    shape = adaptor.operands[0].type.shape
    matrix = []
    if upper == 1:
        matrix = np.triu(np.ones(shape), k)
    else:
        matrix = np.tril(np.ones(shape), k)
    fake_quant_matrix = qnt.const_fake_quant(
        matrix, [-128.0], [127.0], 8, False, axis=None
    )
    return hbir.mul(x, fake_quant_matrix)","hbir.mul
","{'hbir.mul': {'lhs': ['{Type: int8, int16}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Same as lhs}']}}"
GridSample,"//opset16
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    Grid: mlir.Value,
    *,
    align_corners=0,
    mode=""bilinear"",
    padding_mode=""zeros"",
):
    if isinstance(mode, bytes):
        mode = mode.decode()
    # Currently only supports nearest and bilinear
    if mode not in [""nearest"", ""bilinear""]:
        raise ValueError(
            f""Operator GridSample does not support resize mode: {mode}""
        )
    padding_mode = (
        padding_mode if type(padding_mode) == str else padding_mode.decode()
    )

    x = hbir.transpose(x, [0, 2, 3, 1])
    if padding_mode == ""zeros"":
        x = hbir.grid_sample(
            x, Grid, mode=mode, alignCorner=bool(align_corners), padValue=0
        )
    elif padding_mode == ""border"":
        x = hbir.grid_sample(
            x,
            Grid,
            mode=mode,
            alignCorner=bool(align_corners),
            expansionMode=padding_mode,
        )
    else:
        raise ValueError(
            f""Operator GridSample does not support padding_mode {padding_mode}""
        )
    return hbir.transpose(x, [0, 3, 1, 2], output_type=y)
//horizon
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    Grid: mlir.Value,
    *,
    align_corners=0,
    mode=""bilinear"",
    padding_mode=""zeros"",
):
    padding_mode = (
        padding_mode if type(padding_mode) == str else padding_mode.decode()
    )

    x = hbir.transpose(x, [0, 2, 3, 1])
    if padding_mode == ""zeros"":
        x = hbir.grid_sample(
            x, Grid, mode=mode, alignCorner=bool(align_corners), padValue=0
        )
    elif padding_mode == ""border"":
        x = hbir.grid_sample(
            x,
            Grid,
            mode=mode,
            alignCorner=bool(align_corners),
            expansionMode=padding_mode,
        )
    else:
        raise ValueError(
            f""Operator GridSample does not support padding_mode {padding_mode}""
        )
    return hbir.transpose(x, [0, 3, 1, 2], output_type=y)","hbir.transpose
hbir.grid_sample
hbir.grid_sample
hbir.transpose
","{'hbir.transpose': {'input': ['{No limits}'], 'output': ['{Same as input}']}, 'hbir.grid_sample': {'input': ['{Type: int8}\n{Shape: [*,H,W,C]}\n{Dim: dims ∈ [1, 65536], H and W cannot both be greater than 4096 at the same time}'], 'grid': ['{Type: int16}\n{Shape: [*,H,W,2]}'], 'output': ['{Same as input except Dim constraints}'], 'mode': ['{Only support bilinear and nearest}'], 'padding_mode': ['{Only support zeros and border}']}}"
LayerNormalization,"//opset17
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    otype: mlir.Type,
    x: mlir.Value,
    scale: mlir.Value,
    bias: Optional[mlir.Value] = None,
    *,
    axis=-1,
    epsilon=1e-05,
    stash_type=1,
):
    if stash_type != 1:
        raise ValueError(
            f""LayerNormalization not support for stash_type={stash_type} != 1.""
        )
    itype = adaptor.operands[0].type
    rank = len(itype.shape)
    assert (-rank <= axis) and (
        axis < rank
    ), 'invalid ""aixs"" attr of LayerNormalization op'
    norm_dims = (
        list(range(rank + axis, rank)) if (axis < 0) else list(range(axis, rank))
    )

    # align scale rank to targeted rank
    stype = adaptor.operands[1].type
    expansion = [1] * (itype.rank - stype.rank)
    if not is_unidirectional_broadcastable(itype.shape, stype.shape):
        raise ValueError(
            f""scale shape {stype.shape} can not broadcast to input shape {itype.shape}""
        )
    scale = hbir.reshape(scale, [*expansion, *stype.shape])

    if bias is not None:  # align bias rank to targeted rank
        btype = adaptor.operands[2].type
        if not is_unidirectional_broadcastable(itype.shape, btype.shape):
            raise ValueError(
                f""bias shape {btype.shape} can not broadcast to input shape {itype.shape}""
            )
        expansion = [1] * (itype.rank - btype.rank)
        bias = hbir.reshape(bias, [*expansion, *btype.shape])

    x = hbir.layernorm(
        x, dims=norm_dims, eps=epsilon, weight=scale, bias=bias, output_type=otype
    )
    return x","hbir.reshape
hbir.reshape
hbir.layernorm
","{'hbir.reshape': {'input': ['{No limits}'], 'output': ['{Same as input}']}, 'hbir.layernorm': 'Unsupported'}"
BitwiseAndOp,"//opset18
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, lhs: mlir.Value, rhs: mlir.Value
):
    return hbir.bitwise_and(lhs, rhs, output_type=y)","hbir.bitwise_and
","{'hbir.bitwise_and': {'lhs': ['{Type: int8, int16}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Same as lhs}']}}"
BitwiseOrOp,"//opset18
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, lhs: mlir.Value, rhs: mlir.Value
):
    return hbir.bitwise_or(lhs, rhs, output_type=y)","hbir.bitwise_or
","{'hbir.bitwise_or': {'lhs': ['{Type: int8, int16}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Same as lhs}']}}"
Reduce,"//opset18
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *args,
    keepdims=1,
    noop_with_empty_axes=0,
):
    axes = None
    if len(args) != 0:
        axes = adaptor.operands[1].value.tolist()

    if axes is None:
        axes = []
        if noop_with_empty_axes == 0:
            # Reduce all axes
            axes = list(range(mlir.ShapedType(x.type).rank))
        else:
            # act like identity operands, here convert to reshape
            return hbir.reshape(x, adaptor.operands[0].type.shape)

    return self.mlir_op_func(x, dims=axes, keepDim=bool(keepdims), output_type=y)","hbir.reshape
","{'hbir.reshape': {'input': ['{No limits}'], 'output': ['{Same as input}']}}"
BevPoolV2,"//horizon
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    otype: mlir.Type,
    x: mlir.Value,
    feat: mlir.Value,
    ranks_depth: mlir.Value,
    ranks_feat: mlir.Value,
    ranks_bev: mlir.Value,
    bev_feat_shape: mlir.Value,
    interval_starts: mlir.Value,
    interval_lengths: mlir.Value,
    *args,
):
    bev_feat_shape_list = []
    for i in range(otype.rank):
        bev_feat_shape_list.append(otype.shape[i])

    # only support rank == 4 and 5
    assert otype.rank == 4 or otype.rank == 5, ""now only support 4d or 5d""
    if otype.rank == 5:
        # bev_feat_shape.permute(0 ,4, 1, 2, 3) = fout.shape
        total_dims = len(bev_feat_shape_list)
        batch_dims_count = total_dims - 5
        batch_dims = bev_feat_shape_list[:batch_dims_count]
        last_five_dims = bev_feat_shape_list[batch_dims_count:]
        permute_order = [0, 2, 3, 4, 1]
        new_shape = batch_dims + [last_five_dims[i] for i in permute_order]
        bev_feat_shape_list = new_shape
        feat = hbir.transpose(feat, (0, 1, 3, 4, 2))
    elif otype.rank == 4:
        # bev_feat_shape.permute(3, 0, 1, 2) = fout.shape
        original_array = np.array(bev_feat_shape_list)
        bev_feat_shape_list = np.transpose(original_array, (1, 2, 3, 0)).tolist()
        feat = hbir.transpose(feat, (0, 3, 2, 1))

    x = hbir.bev_pool_v2(
        depth=x,
        feat=feat,
        ranks_depth=ranks_depth,
        ranks_feat=ranks_feat,
        ranks_bev=ranks_bev,
        interval_starts=interval_starts,
        interval_lengths=interval_lengths,
        bev_feat_shape=bev_feat_shape_list,
        # output_type=otype, // In order to separate permute from hbtl, the output type cannot be used here, otherwise infertype will not pass.
    )
    return nhwc_to_nchw(x)","hbir.transpose
hbir.transpose
hbir.bev_pool_v2
","{'hbir.transpose': {'input': ['{No limits}'], 'output': ['{Same as input}']}, 'hbir.bev_pool_v2': 'Unsupported'}"
